experiment,scene,condition,target,nominal_distance_mm,yaw_deg,repeat_index,source_summary,num_frames,roi_width,roi_height,roi_pixels,zero_ratio,max_uint16_ratio,max_uint16_affected_frames,max_uint16_max_pixels_per_frame,temporal_median_std_mm,temporal_mean_std_mm,temporal_p95_std_mm,measured_median_mm,measured_mean_mm,measured_std_mm,measured_p05_mm,measured_p95_mm,measured_offset_from_nominal_mm,plane_successful_frames,plane_failed_frames,plane_success_ratio,plane_distance_median_mm,plane_distance_offset_from_nominal_mm,plane_distance_temporal_std_mm,tilt_median_deg,tilt_temporal_std_deg,tilt_error_from_nominal_deg,plane_rmse_median_mm,plane_rmse_p95_mm,plane_p95_abs_median_mm,plane_inlier_ratio_median
scene02_white_d100_r02,scene02,scene02_white_d100,white,1000,0,2,results/scene02_white_d100_r02/baseline/summary.yaml,883,174,134,23316,0.046870054771637186,0.0,0,0,1.5836779512106454,1.9873616537332612,4.100190176581013,1000.0,999.8029445073613,0.6417984571976033,999.0,1001.0,0.0,883,0,1.0,1001.8239295847043,1.823929584704274,289.9709758215619,3.3286312477254074,27.271357739642617,3.3286312477254074,6.359209766027953,89.20934200673904,10.547309016649386,0.7373163918176083
scene02_white_d100_r03,scene02,scene02_white_d100,white,1000,0,3,results/scene02_white_d100_r03/baseline/summary.yaml,891,174,134,23316,0.050143695008451686,0.0,0,0,1.5889227801715022,2.001180998095744,4.255111773662429,1000.0,999.8473625140292,0.6524075261242956,999.0,1001.0,0.0,891,0,1.0,1001.8466840802622,1.8466840802622073,235.93321619294326,3.3799025010508186,22.09935912165777,3.3799025010508186,5.9723388267448385,89.04464720493768,10.546196067473822,0.7444163125056515
scene02_yaw15_white_d100_r01,scene02,scene02_yaw15_white_d100,white,1000,15,1,results/scene02_yaw15_white_d100_r01/baseline/summary.yaml,893,162,127,20574,0.008181267064150264,0.0,0,0,1.6220216942632721,1.7917559610092744,2.8922222811219105,1049.0,1048.8527435610301,0.415793711067047,1048.0,1049.0,49.0,893,0,1.0,988.5217302803818,-11.478269719618197,0.52800097715506,17.58376067951856,0.07784519860475604,2.5837606795185586,5.531462233526326,6.454264904852238,8.330355225566022,0.781592868338558
scene02_yaw15_white_d100_r02,scene02,scene02_yaw15_white_d100,white,1000,15,2,results/scene02_yaw15_white_d100_r02/baseline/summary.yaml,892,162,127,20574,0.008335327665506684,0.0,0,0,1.589164219839551,1.7306770684895838,2.783114411044202,1049.0,1048.82399103139,0.42202080571659095,1048.0,1049.0,49.0,892,0,1.0,987.9863895123391,-12.013610487660912,0.47054458988636744,17.668387784620037,0.06744921375457172,2.6683877846200375,4.982433187995385,5.934374515471701,8.250594658511098,0.7968163595568181
scene02_yaw15_white_d100_r03,scene02,scene02_yaw15_white_d100,white,1000,15,3,results/scene02_yaw15_white_d100_r03/baseline/summary.yaml,882,162,127,20574,0.0074054896577081305,0.0,0,0,1.592252570722017,1.7425470948571664,2.7481211946106394,1049.0,1048.8741496598639,0.3832233090328041,1048.0,1049.0,49.0,882,0,1.0,987.6555193646288,-12.344480635371156,0.4343894367053977,17.70052464938813,0.06528998269048367,2.7005246493881288,5.094980439931222,5.720411201792844,8.350768779316322,0.7959488220153714
scene02_yaw30_white_d100_r01,scene02,scene02_yaw30_white_d100,white,1000,30,1,results/scene02_yaw30_white_d100_r01/baseline/summary.yaml,892,164,121,19844,0.006117673006400598,0.0,0,0,2.8420097389432173,3.1963734581405774,5.86393060659331,1056.0,1055.8856502242152,1.6294433294090211,1054.0,1059.0,56.0,892,0,1.0,978.0091475519378,-21.990852448062242,1.454493960039994,21.16990845393064,0.15273403517183193,-8.830091546069362,5.707482530626754,6.331346232726969,11.249584016468432,0.6953190577026882
scene02_yaw30_white_d100_r02,scene02,scene02_yaw30_white_d100,white,1000,30,2,results/scene02_yaw30_white_d100_r02/baseline/summary.yaml,883,164,121,19844,0.004406454147560484,0.0,0,0,2.4322359203199033,2.6736068924162457,4.6557590492699825,1055.0,1055.228765571914,0.9907781780220055,1054.0,1057.0,55.0,883,0,1.0,978.1360229667031,-21.86397703329692,1.1179533446668044,21.14628288013893,0.11682974100599047,-8.85371711986107,5.1527599686930055,5.514832188281727,10.010893674707873,0.7107714112168455
scene02_yaw30_white_d100_r03,scene02,scene02_yaw30_white_d100,white,1000,30,3,results/scene02_yaw30_white_d100_r03/baseline/summary.yaml,893,164,121,19844,0.004537915336489117,0.0,0,0,2.0993352528046354,2.338874228040489,4.03318048280749,1055.0,1055.1724524076149,0.6219594161777301,1054.0,1056.0,55.0,893,0,1.0,978.6022869743936,-21.397713025606436,0.8029652847578322,21.102741418018248,0.0891971099854119,-8.897258581981752,4.853160862836313,5.11161815786348,9.341107222519613,0.7328306088364795
scene02_yaw45_white_d100_r01,scene02,scene02_yaw45_white_d100,white,1000,45,1,results/scene02_yaw45_white_d100_r01/baseline/summary.yaml,893,132,112,14784,0.012108289946335858,0.0,0,0,1.9530391245184469,2.052335333335105,3.1191251937691242,1087.0,1086.5856662933932,0.6702747414795162,1086.0,1088.0,87.0,893,0,1.0,935.8738706955124,-64.12612930448756,2.2946374891749404,28.383648673839986,0.1708392748917212,-16.616351326160014,4.142488304325678,4.351269388903305,7.801552649709942,0.8258068937161653
scene02_yaw45_white_d100_r02,scene02,scene02_yaw45_white_d100,white,1000,45,2,results/scene02_yaw45_white_d100_r02/baseline/summary.yaml,883,132,112,14784,0.012064249925235204,0.0,0,0,1.8929119803906327,1.9942121712416132,3.077762902080493,1087.0,1086.6211778029444,0.6473519324486512,1086.0,1088.0,87.0,883,0,1.0,935.7824842294257,-64.21751577057432,1.03173814400823,28.38347151073942,0.08566859354390917,-16.61652848926058,4.116682563123598,4.2824007082213855,7.720562396721915,0.8321237847459948
