frame_index,timestamp_ns,foreground_reference_mm,background_reference_mm,measured_gap_mm,foreground_bleeding_ratio,foreground_bleeding_max_distance_px,background_bleeding_ratio,background_bleeding_max_distance_px,mixed_ratio,peak_mixed_ratio,peak_mixed_distance_px,outlier_ratio,invalid_ratio,invalid_band_width_px,transition_width_px,nominal_edge_offset_px,analysis_status,transition_status
53,1785284691047522580,1948.0,2272.0,324.0,0.0,,0.022569444444444444,,0.12041666666666667,0.609375,0.0,0.0,0.0,0.0,4.921100917431195,-1.688073394495413,ok,ok
54,1785284691081435567,1948.0,2268.0,320.0,0.0,,0.015625,,0.13041666666666665,0.71875,0.0,0.0,0.0,0.0,4.362797202797203,-1.6181818181818182,ok,ok
55,1785284691111780610,1945.0,2272.0,327.0,0.0,,0.024305555555555556,,0.14541666666666667,0.5989583333333334,0.0,0.0,0.0,0.0,6.762666666666668,-1.84,ok,ok
56,1785284691148121737,1945.0,2272.0,327.0,0.0008012820512820513,,0.017361111111111112,,0.12083333333333333,0.65625,0.0,0.0,0.0,0.0,3.7611594202898555,-1.4666666666666668,ok,ok
57,1785284691181661477,1945.0,2272.0,327.0,0.0,,0.0234375,,0.14,0.609375,0.0,0.0,0.0,0.0,6.698742138364782,-1.7169811320754718,ok,ok
58,1785284691212905532,1945.0,2272.0,327.0,0.0,,0.018229166666666668,,0.24291666666666667,0.671875,0.0,0.0,0.0,0.0,,,ok,missing_crossing
59,1785284691247192937,1948.0,2276.0,328.0,0.0,,0.014756944444444444,,0.17583333333333334,0.7083333333333334,0.0,0.0008333333333333334,0.0,0.0,5.654290429042904,-1.683168316831683,ok,ok
60,1785284691279988159,1945.0,2276.0,331.0,0.0,,0.015625,,0.16708333333333333,0.7083333333333334,0.0,0.0,0.0,0.0,6.265454545454547,-1.690909090909091,ok,ok
61,1785284691312148033,1945.0,2276.0,331.0,0.0,,0.019097222222222224,,0.14666666666666667,0.6770833333333334,0.0,0.0,0.0,0.0,4.463333333333335,-1.5166666666666668,ok,ok
62,1785284691346233203,1948.0,2272.0,324.0,0.0,,0.026041666666666668,,0.10083333333333333,0.5833333333333334,0.0,0.0,0.0,0.0,4.1652892561983474,-1.5041322314049588,ok,ok
